"","filename","n_alignments_ok","n_alignments_zeroes","n_alignments_na"
"458","article_0_3_2_0_0_557.RDa",0,4,0
"459","article_0_3_2_0_0_558.RDa",2,2,0
"460","article_0_3_2_0_0_559.RDa",3,1,0
"461","article_0_3_2_0_1_560.RDa",4,0,0
"462","article_0_3_2_0_1_561.RDa",4,0,0
"463","article_0_3_2_0_1_562.RDa",4,0,0
"464","article_0_3_2_0_1_563.RDa",4,0,0
"465","article_0_3_2_0_1_564.RDa",4,0,0
"466","article_0_3_2_0_1_565.RDa",4,0,0
"467","article_0_3_2_0_1_566.RDa",4,0,0
"468","article_0_3_2_0_1_567.RDa",4,0,0
"469","article_0_3_2_0_1_568.RDa",0,0,0
"470","article_0_3_2_0_1_569.RDa",4,0,0
"471","article_0_3_2_0_1_570.RDa",4,0,0
"472","article_0_3_2_0_1_571.RDa",4,0,0
"473","article_0_3_2_0_1_572.RDa",4,0,0
"474","article_0_3_2_0_1_573.RDa",4,0,0
"475","article_0_3_2_0_1_574.RDa",0,4,0
"476","article_0_3_2_0_1_575.RDa",4,0,0
"477","article_0_3_2_0_1_576.RDa",4,0,0
"478","article_0_3_2_0_1_577.RDa",4,0,0
"479","article_0_3_2_0_1_578.RDa",4,0,0
"480","article_0_3_2_0_1_579.RDa",4,0,0
"481","article_1_0_0_0_0_580.RDa",4,0,0
"482","article_1_0_0_0_0_581.RDa",3,1,0
"483","article_1_0_0_0_0_582.RDa",4,0,0
"484","article_1_0_0_0_0_583.RDa",4,0,0
"485","article_1_0_0_0_0_584.RDa",4,0,0
"486","article_1_0_0_0_0_585.RDa",4,0,0
"487","article_1_0_0_0_0_586.RDa",4,0,0
"488","article_1_0_0_0_0_587.RDa",4,0,0
"489","article_1_0_0_0_0_588.RDa",4,0,0
"490","article_1_0_0_0_0_589.RDa",3,1,0
"491","article_1_0_0_0_0_590.RDa",4,0,0
"492","article_1_0_0_0_0_591.RDa",4,0,0
"493","article_1_0_0_0_0_592.RDa",4,0,0
"494","article_1_0_0_0_0_593.RDa",1,3,0
"495","article_1_0_0_0_0_594.RDa",3,1,0
"496","article_1_0_0_0_0_595.RDa",3,1,0
"497","article_1_0_0_0_0_596.RDa",4,0,0
"498","article_1_0_0_0_0_597.RDa",4,0,0
"499","article_1_0_0_0_0_598.RDa",4,0,0
"500","article_1_0_0_0_0_599.RDa",3,1,0
"501","article_1_0_0_0_1_600.RDa",4,0,0
"502","article_1_0_0_0_1_601.RDa",4,0,0
"503","article_1_0_0_0_1_602.RDa",4,0,0
"504","article_1_0_0_0_1_603.RDa",4,0,0
"505","article_1_0_0_0_1_604.RDa",0,0,0
"506","article_1_0_0_0_1_605.RDa",4,0,0
"507","article_1_0_0_0_1_606.RDa",4,0,0
"508","article_1_0_0_0_1_607.RDa",4,0,0
"509","article_1_0_0_0_1_608.RDa",4,0,0
